"country","city","customer_id","customer_name","amount","payment_id","payment_date"
"Netherlands","Ede",341,"Peter Menard","7.99",17503,"2007-02-15 22:25:46.996577"
"Netherlands","Ede",341,"Peter Menard","1.99",17504,"2007-02-16 17:23:14.996577"
"Netherlands","Ede",341,"Peter Menard","7.99",17505,"2007-02-16 22:41:45.996577"
"Netherlands","Ede",341,"Peter Menard","2.99",17506,"2007-02-19 19:39:56.996577"
"Netherlands","Ede",341,"Peter Menard","7.99",17507,"2007-02-20 17:31:48.996577"
"Netherlands","Ede",341,"Peter Menard","5.99",17508,"2007-02-21 12:33:49.996577"
"Brazil","Boa Vista",342,"Harold Martino","5.99",17509,"2007-02-17 23:58:17.996577"
"Brazil","Boa Vista",342,"Harold Martino","5.99",17510,"2007-02-20 02:11:44.996577"
"Brazil","Boa Vista",342,"Harold Martino","2.99",17511,"2007-02-20 13:57:39.996577"
"Mexico","Mexicali",343,"Douglas Graf","4.99",17512,"2007-02-16 00:10:50.996577"
"Mexico","Mexicali",343,"Douglas Graf","6.99",17513,"2007-02-16 01:15:33.996577"
"Mexico","Mexicali",343,"Douglas Graf","0.99",17514,"2007-02-17 01:26:00.996577"
"Mexico","Mexicali",343,"Douglas Graf","0.99",17515,"2007-02-17 04:32:51.996577"
"Mexico","Mexicali",343,"Douglas Graf","6.99",17516,"2007-02-18 18:26:38.996577"
"Mexico","Mexicali",343,"Douglas Graf","8.99",17517,"2007-02-20 07:03:29.996577"
"Mexico","Mexicali",343,"Douglas Graf","0.99",17518,"2007-02-21 14:42:28.996577"
"Tonga","Nukualofa",344,"Henry Billingsley","3.99",17519,"2007-02-15 10:54:44.996577"
"Tonga","Nukualofa",344,"Henry Billingsley","4.99",17520,"2007-02-15 19:36:27.996577"
"Tonga","Nukualofa",344,"Henry Billingsley","0.99",17521,"2007-02-16 14:00:38.996577"
"Paraguay","San Lorenzo",345,"Carl Artis","0.99",17522,"2007-02-15 01:26:17.996577"
"Paraguay","San Lorenzo",345,"Carl Artis","4.99",17523,"2007-02-15 18:34:15.996577"
"Paraguay","San Lorenzo",345,"Carl Artis","0.99",17524,"2007-02-16 00:27:01.996577"
"Paraguay","San Lorenzo",345,"Carl Artis","4.99",17525,"2007-02-19 16:13:41.996577"
"Russian Federation","Maikop",346,"Arthur Simpkins","5.99",17526,"2007-02-17 09:35:32.996577"
"Russian Federation","Maikop",346,"Arthur Simpkins","2.99",17527,"2007-02-21 12:02:45.996577"
"Russian Federation","Maikop",346,"Arthur Simpkins","2.99",17528,"2007-02-21 15:51:24.996577"
"Latvia","Daugavpils",347,"Ryan Salisbury","8.99",17529,"2007-02-16 12:40:18.996577"
"Latvia","Daugavpils",347,"Ryan Salisbury","0.99",17530,"2007-02-18 04:59:41.996577"
"Latvia","Daugavpils",347,"Ryan Salisbury","4.99",17531,"2007-02-20 10:16:26.996577"
"Latvia","Daugavpils",347,"Ryan Salisbury","8.99",17532,"2007-02-20 14:33:08.996577"
"Latvia","Daugavpils",347,"Ryan Salisbury","7.99",17533,"2007-02-21 07:33:16.996577"
"Taiwan","Hsichuh",348,"Roger Quintanilla","2.99",17534,"2007-02-16 08:11:14.996577"
"Taiwan","Hsichuh",348,"Roger Quintanilla","8.99",17535,"2007-02-17 12:47:26.996577"
"Taiwan","Hsichuh",348,"Roger Quintanilla","0.99",17536,"2007-02-18 21:30:02.996577"
"Philippines","Imus",349,"Joe Gilliland","2.99",17537,"2007-02-15 00:11:12.996577"
"Philippines","Imus",349,"Joe Gilliland","0.99",17538,"2007-02-15 22:47:06.996577"
"Philippines","Imus",349,"Joe Gilliland","6.99",17539,"2007-02-20 07:24:16.996577"
"Philippines","Imus",349,"Joe Gilliland","8.99",17540,"2007-02-20 12:27:47.996577"
"Russian Federation","Teboksary",350,"Juan Fraley","3.99",17541,"2007-02-17 10:24:35.996577"
"Russian Federation","Teboksary",350,"Juan Fraley","0.99",17542,"2007-02-19 06:31:38.996577"
"Russian Federation","Teboksary",350,"Juan Fraley","2.99",17543,"2007-02-20 13:42:06.996577"
"Russian Federation","Teboksary",350,"Juan Fraley","0.99",17544,"2007-02-20 23:08:05.996577"
"Russian Federation","Zeleznogorsk",351,"Jack Foust","5.99",17545,"2007-02-16 18:33:16.996577"
"Russian Federation","Zeleznogorsk",351,"Jack Foust","0.99",17546,"2007-02-17 00:36:26.996577"
"Russian Federation","Zeleznogorsk",351,"Jack Foust","2.99",17547,"2007-02-19 15:38:50.996577"
"Cameroon","Bamenda",352,"Albert Crouse","0.99",17548,"2007-02-15 20:26:26.996577"
"Cameroon","Bamenda",352,"Albert Crouse","4.99",17549,"2007-02-16 07:48:59.996577"
"Cameroon","Bamenda",352,"Albert Crouse","4.99",17550,"2007-02-16 09:36:54.996577"
"Cameroon","Bamenda",352,"Albert Crouse","4.99",17551,"2007-02-16 17:40:11.996577"
"Cameroon","Bamenda",352,"Albert Crouse","4.99",17552,"2007-02-21 08:06:19.996577"
"Mexico","Pachuca de Soto",353,"Jonathan Scarborough","2.99",17553,"2007-02-15 11:58:56.996577"
"Mexico","Pachuca de Soto",353,"Jonathan Scarborough","7.99",17554,"2007-02-17 05:16:57.996577"
"Mexico","Pachuca de Soto",353,"Jonathan Scarborough","6.99",17555,"2007-02-21 01:07:57.996577"
"Brazil","Santo Andr",354,"Justin Ngo","0.99",17556,"2007-02-15 20:16:44.996577"
"Brazil","Santo Andr",354,"Justin Ngo","4.99",17557,"2007-02-18 04:59:55.996577"
"Brazil","Santo Andr",354,"Justin Ngo","6.99",17558,"2007-02-19 16:20:40.996577"
"Brazil","Santo Andr",354,"Justin Ngo","2.99",17559,"2007-02-20 18:13:11.996577"
"Japan","Matsue",355,"Terry Grissom","0.99",17560,"2007-02-15 20:08:20.996577"
"Japan","Matsue",355,"Terry Grissom","2.99",17561,"2007-02-16 05:20:31.996577"
"India","Satna",356,"Gerald Fultz","0.99",17562,"2007-02-15 15:28:12.996577"
"India","Satna",356,"Gerald Fultz","2.99",17563,"2007-02-18 15:05:04.996577"
"India","Satna",356,"Gerald Fultz","4.99",17564,"2007-02-18 16:38:43.996577"
"Slovakia","Bratislava",357,"Keith Rico","5.99",17565,"2007-02-15 03:39:45.996577"
"Slovakia","Bratislava",357,"Keith Rico","1.99",17566,"2007-02-16 18:15:44.996577"
"Slovakia","Bratislava",357,"Keith Rico","1.99",17567,"2007-02-17 07:52:25.996577"
"Slovakia","Bratislava",357,"Keith Rico","6.99",17568,"2007-02-17 21:26:30.996577"
"India","Ranchi",358,"Samuel Marlow","2.99",17569,"2007-02-15 18:19:32.996577"
"India","Ranchi",358,"Samuel Marlow","0.99",17570,"2007-02-17 03:39:02.996577"
"India","Ranchi",358,"Samuel Marlow","5.99",17571,"2007-02-17 18:28:51.996577"
"India","Ranchi",358,"Samuel Marlow","2.99",17572,"2007-02-19 13:21:50.996577"
"India","Ranchi",358,"Samuel Marlow","2.99",17573,"2007-02-19 14:56:01.996577"
"India","Ranchi",358,"Samuel Marlow","2.99",17574,"2007-02-21 01:34:37.996577"
"Argentina","Almirante Brown",359,"Willie Markham","4.99",17575,"2007-02-15 09:53:32.996577"
"Argentina","Almirante Brown",359,"Willie Markham","1.99",17576,"2007-02-16 16:36:21.996577"
"Argentina","Almirante Brown",359,"Willie Markham","0.99",17577,"2007-02-18 14:50:29.996577"
"Argentina","Almirante Brown",359,"Willie Markham","4.99",17578,"2007-02-19 14:11:46.996577"
"Puerto Rico","Arecibo",360,"Ralph Madrigal","0.99",17579,"2007-02-15 20:17:01.996577"
"Puerto Rico","Arecibo",360,"Ralph Madrigal","6.99",17580,"2007-02-18 14:53:11.996577"
"Puerto Rico","Arecibo",360,"Ralph Madrigal","3.99",17581,"2007-02-19 00:36:36.996577"
"Puerto Rico","Arecibo",360,"Ralph Madrigal","6.99",17582,"2007-02-19 16:47:59.996577"
